,Charging Profile
2016-01-01 03:42:00+00:00,166.83924090046418
2016-01-01 03:43:00+00:00,136.46914436363176
2016-01-01 03:44:00+00:00,112.5000607868238
2016-01-01 03:45:00+00:00,91.30473012563976
2016-01-01 03:46:00+00:00,98.66224795251908
2016-01-01 03:47:00+00:00,102.3398751552816
2016-01-01 03:48:00+00:00,113.13173645108601
2016-01-01 03:49:00+00:00,116.79479654728208
2016-01-01 03:50:00+00:00,120.49032667298603
2016-01-01 03:51:00+00:00,116.82809947670226
2016-01-01 03:52:00+00:00,105.89127826747416
2016-01-01 03:53:00+00:00,105.98528678327061
2016-01-01 03:54:00+00:00,109.37792542960968
2016-01-01 03:55:00+00:00,109.37792542960968
2016-01-01 03:56:00+00:00,109.37792542960968
2016-01-01 03:57:00+00:00,120.2922835199766
2016-01-01 03:58:00+00:00,127.5416001120383
2016-01-01 03:59:00+00:00,131.1476942447997
2016-01-01 04:00:00+00:00,130.63354591706187
2016-01-01 04:01:00+00:00,151.0734886796778
2016-01-01 04:02:00+00:00,147.68085003333874
2016-01-01 04:03:00+00:00,206.55300025168893
2016-01-01 04:04:00+00:00,147.68085003333874
2016-01-01 04:05:00+00:00,191.69747683394908
2016-01-01 04:06:00+00:00,116.37895634988429
2016-01-01 04:07:00+00:00,116.37895634988429
2016-01-01 04:08:00+00:00,116.37895634988429
2016-01-01 04:09:00+00:00,106.15217933893238
2016-01-01 04:10:00+00:00,112.34666881192926
2016-01-01 04:11:00+00:00,126.74813540477619
2016-01-01 04:12:00+00:00,130.31596112378836
2016-01-01 04:13:00+00:00,257.71683376534855
2016-01-01 04:14:00+00:00,257.7141545643868
2016-01-01 04:15:00+00:00,257.7293285304285
2016-01-01 04:16:00+00:00,144.87443329662307
2016-01-01 04:17:00+00:00,130.43638639979932
2016-01-01 04:18:00+00:00,133.04543288583622
2016-01-01 04:19:00+00:00,123.15894702271747
2016-01-01 04:20:00+00:00,105.06662940713476
2016-01-01 04:21:00+00:00,119.51673391062329
2016-01-01 04:22:00+00:00,119.51673391062329
2016-01-01 04:23:00+00:00,119.51673391062329
2016-01-01 04:24:00+00:00,118.62005614437696
2016-01-01 04:25:00+00:00,122.25363414525452
2016-01-01 04:26:00+00:00,114.95007854884734
2016-01-01 04:27:00+00:00,125.49341652943514
2016-01-01 04:28:00+00:00,125.49341652943514
2016-01-01 04:29:00+00:00,111.02047477801956
2016-01-01 04:30:00+00:00,180.2372495395384
2016-01-01 04:31:00+00:00,98.2596709534041
2016-01-01 04:32:00+00:00,101.65747007783744
2016-01-01 04:33:00+00:00,105.21537058366081
2016-01-01 04:34:00+00:00,126.86655753611687
2016-01-01 04:35:00+00:00,119.572462238993
2016-01-01 04:36:00+00:00,123.17844298256621
2016-01-01 04:37:00+00:00,112.63510500197842
2016-01-01 04:38:00+00:00,108.94598775319722
2016-01-01 04:39:00+00:00,112.54931973067104
2016-01-01 04:40:00+00:00,122.57439258243775
2016-01-01 04:41:00+00:00,104.54145892523611
2016-01-01 04:42:00+00:00,100.88206220753871
2016-01-01 04:43:00+00:00,104.53427909139661
2016-01-01 04:44:00+00:00,97.50487342670755
2016-01-01 04:45:00+00:00,97.50487342670755
2016-01-01 04:46:00+00:00,93.82585343383026
2016-01-01 04:47:00+00:00,90.1435948139512
2016-01-01 04:48:00+00:00,86.6268792504427
2016-01-01 04:49:00+00:00,86.77766441813053
2016-01-01 04:50:00+00:00,69.41069465355262
2016-01-01 04:51:00+00:00,69.41041845005277
2016-01-01 04:52:00+00:00,69.32551431383708
2016-01-01 04:53:00+00:00,54.85325571764678
2016-01-01 04:54:00+00:00,64.96608908936513
2016-01-01 04:55:00+00:00,146.97851364173633
2016-01-01 04:56:00+00:00,61.43693814985102
2016-01-01 04:57:00+00:00,90.03267629595436
2016-01-01 04:58:00+00:00,54.15040223555167
2016-01-01 04:59:00+00:00,57.8205662140627
2016-01-01 05:00:00+00:00,44.18972167253448
2016-01-01 05:01:00+00:00,44.18972167253448
2016-01-01 05:02:00+00:00,44.18972167253448
2016-01-01 05:03:00+00:00,44.18972167253448
2016-01-01 05:04:00+00:00,46.79521328441397
2016-01-01 05:05:00+00:00,46.79521328441397
2016-01-01 05:06:00+00:00,40.53750478867658
2016-01-01 05:07:00+00:00,51.396616623467644
2016-01-01 05:08:00+00:00,60.29441376526159
2016-01-01 05:09:00+00:00,60.27114009555553
2016-01-01 05:10:00+00:00,131.23383896876848
2016-01-01 05:11:00+00:00,136.3052755201634
2016-01-01 05:12:00+00:00,79.11512733153161
2016-01-01 05:13:00+00:00,75.42043052610305
2016-01-01 05:14:00+00:00,82.71614161624112
2016-01-01 05:15:00+00:00,82.71614161624112
2016-01-01 05:16:00+00:00,82.71614161624112
2016-01-01 05:17:00+00:00,82.71614161624112
2016-01-01 05:18:00+00:00,93.5357827496343
2016-01-01 05:19:00+00:00,76.57053944770072
2016-01-01 05:20:00+00:00,80.07210407573461
2016-01-01 05:21:00+00:00,160.9913647531477
2016-01-01 05:22:00+00:00,83.75239028922401
2016-01-01 05:23:00+00:00,76.6070741649635
2016-01-01 05:24:00+00:00,76.6070741649635
2016-01-01 05:25:00+00:00,76.6070741649635
2016-01-01 05:26:00+00:00,86.73058509175915
2016-01-01 05:27:00+00:00,100.23861329862304
2016-01-01 05:28:00+00:00,99.06853229295628
2016-01-01 05:29:00+00:00,102.72804011392408
2016-01-01 05:30:00+00:00,109.87818543965658
2016-01-01 05:31:00+00:00,109.87818543965658
2016-01-01 05:32:00+00:00,109.87818543965658
2016-01-01 05:33:00+00:00,113.57818543965658
2016-01-01 05:34:00+00:00,106.55405239264975
2016-01-01 05:35:00+00:00,106.68792606638891
2016-01-01 05:36:00+00:00,96.80163589056082
2016-01-01 05:37:00+00:00,102.621020487503
