,Mobility Profile
2016-01-01 02:42:00+00:00,102652.17837515725
2016-01-01 02:43:00+00:00,93621.58111074465
2016-01-01 02:44:00+00:00,93621.58111074465
2016-01-01 02:45:00+00:00,93621.58111074465
2016-01-01 02:46:00+00:00,82716.96364484222
2016-01-01 02:47:00+00:00,56643.795464396964
2016-01-01 02:48:00+00:00,48437.75541193344
2016-01-01 02:49:00+00:00,36504.32320684565
2016-01-01 02:50:00+00:00,36504.32320684565
2016-01-01 02:51:00+00:00,18385.22908647874
2016-01-01 02:52:00+00:00,22562.30217864341
2016-01-01 02:53:00+00:00,22562.30217864341
2016-01-01 02:54:00+00:00,44547.67973594481
2016-01-01 02:55:00+00:00,44547.67973594481
2016-01-01 02:56:00+00:00,44547.67973594481
2016-01-01 02:57:00+00:00,58481.85708447987
2016-01-01 02:58:00+00:00,58481.85708447987
2016-01-01 02:59:00+00:00,58481.85708447987
2016-01-01 03:00:00+00:00,70568.48048062426
2016-01-01 03:01:00+00:00,70569.71902390454
2016-01-01 03:02:00+00:00,57671.36715888144
2016-01-01 03:03:00+00:00,66683.67961198495
2016-01-01 03:04:00+00:00,68535.62525561108
2016-01-01 03:05:00+00:00,68535.62525561108
2016-01-01 03:06:00+00:00,82178.3473798054
2016-01-01 03:07:00+00:00,92560.61363056723
2016-01-01 03:08:00+00:00,80473.77810280137
2016-01-01 03:09:00+00:00,102155.0718105249
2016-01-01 03:10:00+00:00,87972.12489014801
2016-01-01 03:11:00+00:00,88581.60622917335
2016-01-01 03:12:00+00:00,74606.03699851243
2016-01-01 03:13:00+00:00,80112.99237403716
2016-01-01 03:14:00+00:00,80112.99237403716
2016-01-01 03:15:00+00:00,88772.09245793746
2016-01-01 03:16:00+00:00,98294.44223388322
2016-01-01 03:17:00+00:00,128695.43624055827
2016-01-01 03:18:00+00:00,143587.5065058188
2016-01-01 03:19:00+00:00,112829.99255483049
2016-01-01 03:20:00+00:00,114393.39230906684
2016-01-01 03:21:00+00:00,114393.39230906684
2016-01-01 03:22:00+00:00,111922.87080774171
2016-01-01 03:23:00+00:00,120525.23217074484
2016-01-01 03:24:00+00:00,111633.66164638451
2016-01-01 03:25:00+00:00,87084.7346089165
2016-01-01 03:26:00+00:00,102986.16249506957
2016-01-01 03:27:00+00:00,112930.77698559027
2016-01-01 03:28:00+00:00,103416.12013585155
2016-01-01 03:29:00+00:00,89884.81637804443
2016-01-01 03:30:00+00:00,90298.61295740528
2016-01-01 03:31:00+00:00,147916.0252994147
2016-01-01 03:32:00+00:00,145582.78478012016
2016-01-01 03:33:00+00:00,123441.43566261277
2016-01-01 03:34:00+00:00,126169.82196385166
2016-01-01 03:35:00+00:00,121923.64900015757
